  304 1936  oct    30    16.2    89.4     2.8      .0    -2.8   922.5      .0
  305 1936  oct    31    20.1    75.5     3.6     2.6    -2.6   921.1      .0
  306 1936  nov     1    20.4    80.3     2.4    -1.7     1.7   921.4      .1
  307 1936  nov     2    17.6    96.7     3.1    -2.2     2.2   922.5      .7
  308 1936  nov     3    18.5    93.4     3.2    -2.3     2.3   920.9      .0
  309 1936  nov     4    20.2    91.1     2.7     1.9    -1.9   918.6    16.0
  310 1936  nov     5    20.2    83.3     6.8     6.3    -2.6   918.8     8.8
  311 1936  nov     6    15.4    89.7     3.9    -1.5     3.6   924.8      .3
  312 1936  nov     7    15.6    86.3     2.4     -.9     2.2   925.7      .0
  313 1936  nov     8    16.8    87.0     2.4    -1.7     1.7   925.8      .0
  314 1936  nov     9    18.5    84.6     2.6    -1.8     1.8   925.2      .0
  315 1936  nov    10    20.0    87.7     2.1    -1.5    -1.5   923.5     1.0
  316 1936  nov    11    18.5    93.3     3.3    -2.3     2.3   923.5     3.6
  317 1936  nov    12    18.5    90.5     2.3    -1.6     1.6   922.2      .2
  318 1936  nov    13    18.9    91.6     3.1    -2.2     2.2   921.3      .0
  319 1936  nov    14    17.9    74.5     3.1    -2.9     1.2   923.4      .0
  320 1936  nov    15    16.8    83.7     4.7    -3.3     3.3   925.0      .0
  321 1936  nov    16    17.9    84.9     3.9    -2.8     2.8   923.6      .0
  322 1936  nov    17    19.2    84.2     3.3    -1.3    -3.1   919.6     2.8
  323 1936  nov    18    20.9    78.0     4.0     2.8    -2.8   918.4    14.8
  324 1936  nov    19    18.4    92.2     3.8      .0    -3.8   915.7    20.7
  325 1936  nov    20    18.3    87.0     2.6    -1.0     2.4   918.0      .0
  326 1936  nov    21    16.9    87.9     3.4    -2.4     2.4   924.8      .0
  327 1936  nov    22    17.4    89.8     3.7    -2.6     2.6   927.1      .0
  328 1936  nov    23    20.0    88.2     2.6     1.8    -1.8   926.3      .0
  329 1936  nov    24    20.0    81.3     5.9     4.2    -4.2   923.8      .0
  330 1936  nov    25    19.1    89.5     3.4     2.4    -2.4   921.0    19.6
  331 1936  nov    26    16.2    89.8     4.6    -3.3     3.3   923.5      .4
  332 1936  nov    27    14.1    92.3     5.6    -3.9     3.9   926.9      .0
  333 1936  nov    28    13.9    83.3     5.3    -3.8     3.8   928.4      .0
  334 1936  nov    29    15.3    83.3     4.2    -2.9     2.9   926.3      .0
  335 1936  nov    30    17.9    84.0     3.5    -2.5     2.5   925.2      .0
  336 1936  dec     1    18.8    89.8     3.1    -2.2     2.2   924.4    19.0
  337 1936  dec     2    20.7    88.4     4.4      .0    -4.4   920.1    32.7
  338 1936  dec     3    20.3    89.2     8.4     6.0    -6.0   920.0    38.6
  339 1936  dec     4    20.5    80.5     4.1    -2.9     2.9   923.1      .0
  340 1936  dec     5    19.3    80.8     3.9    -2.8     2.8   924.6      .0
  341 1936  dec     6    19.9    90.1     2.8    -2.0     2.0   923.4      .1
  342 1936  dec     7    21.2    85.1     2.9    -2.1    -2.1   921.5      .0
  343 1936  dec     8    21.2    87.6     5.9     4.1    -4.1   915.5    13.3
  344 1936  dec     9    21.0    80.9     4.3     4.0    -1.6   915.0     7.3
  345 1936  dec    10    19.5    81.8     2.8    -1.1     2.6   918.8      .0
  346 1936  dec    11    18.7    89.9     3.8    -2.7     2.7   921.4      .1
  347 1936  dec    12    20.3    88.7     2.6    -1.8     1.8   921.7     1.3
  348 1936  dec    13    20.0    94.2     2.7    -1.9    -1.9   921.0    26.6
  349 1936  dec    14    21.4    89.6     2.8    -1.9    -1.9   920.6     9.4
  350 1936  dec    15    20.4    94.2     2.9    -1.1     2.7   920.8    28.4
  351 1936  dec    16    18.7    93.4     4.5    -3.2     3.2   923.0     1.8
  352 1936  dec    17    18.7    91.8     2.9    -2.0     2.0   922.9      .0
  353 1936  dec    18    18.4    85.2     4.5    -3.2     3.2   924.8      .0
  354 1936  dec    19    17.7    87.5     3.6    -2.5     2.5   925.4      .0
  355 1936  dec    20    17.6    82.6     4.1    -2.9     2.9   925.3      .0
  356 1936  dec    21    18.4    84.5     3.5    -2.5     2.5   924.5      .0
  357 1936  dec    22    20.8    80.6     2.9    -1.1     2.6   923.4      .0
  358 1936  dec    23    20.8    80.3     3.1    -3.1      .0   922.6      .0
